 Container sreality-postgres  Running
 Container sreality-mongodb  Running
2026-03-27 18:23:10 [main] INFO  com.sreality.etl.Main - Starting ETL run. Config: EtlConfig{mongo=mongodb:27017/sreality, pg=postgres:5432/sreality_dw/dw, batchSize=500}
2026-03-27 18:23:10 [main] INFO  c.s.etl.extract.MongoExtractor - MongoExtractor connected to mongodb/sreality
2026-03-27 18:23:10 [main] INFO  c.sreality.etl.load.PostgresLoader - PostgresLoader connected to postgres/sreality_dw
2026-03-27 18:23:10 [main] INFO  c.sreality.etl.load.PostgresLoader - Ensuring schema 'dw' and all tables exist...
2026-03-27 18:23:10 [main] INFO  c.sreality.etl.load.PostgresLoader - Schema ready.
2026-03-27 18:23:10 [main] INFO  com.sreality.etl.Main - === EXTRACT RUIAN VFR (primary source) ===
2026-03-27 18:23:10 [main] INFO  c.s.etl.extract.RuianVfrExtractor - Trying RUIAN VFR (ST_UZSZ): https://services.cuzk.gov.cz/vfr/202602/20260228_ST_UZSZ.xml.zip
2026-03-27 18:23:11 [main] INFO  c.s.etl.extract.RuianVfrExtractor - Downloaded 4 MB — parsing XML...
2026-03-27 18:23:11 [main] INFO  c.s.etl.extract.RuianVfrExtractor - Parsing VFR XML: 20260228_ST_UZSZ.xml (snapshot: 2026-02-28)
2026-03-27 18:23:11 [main] WARN  c.s.etl.extract.RuianVfrExtractor - VFR Obec[0] kod=2020 fkKod=3601 children=[Kod, Nazev, StatusKod, Okres, Pou, PlatiOd, IdTransakce, GlobalniIdNavrhuZmeny, MluvnickeCharakteristiky, VlajkaText, ZnakText, NutsLau, Geometrie]
2026-03-27 18:23:11 [main] WARN  c.s.etl.extract.RuianVfrExtractor - VFR Obec[1] kod=1970 fkKod=3601 children=[Kod, Nazev, StatusKod, Okres, Pou, PlatiOd, IdTransakce, GlobalniIdNavrhuZmeny, MluvnickeCharakteristiky, VlajkaText, ZnakText, NutsLau, Geometrie]
2026-03-27 18:23:11 [main] WARN  c.s.etl.extract.RuianVfrExtractor - VFR Obec[2] kod=2003 fkKod=3601 children=[Kod, Nazev, StatusKod, Okres, Pou, PlatiOd, IdTransakce, GlobalniIdNavrhuZmeny, MluvnickeCharakteristiky, VlajkaText, ZnakText, NutsLau, Geometrie]
